# HV scan settings
## From https://twiki.cern.ch/twiki/bin/view/CMS/RPCHvscanA2018
# Fill Run LumiSectionStart LumiSectionEnd RollNamePattern HVEff[V] HVSet[V] Pressure[mbar]
6768 317591 64  84  RE-2* 8600 8569 961.5
6768 317591 64  84  RE-3* 8600 8569 961.5
6768 317591 87  107 RE-2* 8800 8768 961.5
6768 317591 87  107 RE-3* 8800 8768 961.5
6768 317591 120 140 RE-4* 8600 8569 961.5
6768 317591 143 166 RE-4* 8800 8569 961.5
6768 317591 190 210 * 9000 8967 961.5
6768 317591 216 236 * 9100 9067 961.5
6768 317591 242 262 * 9200 9167 961.5
6768 317591 269 289 * 9300 9267 961.5
6768 317591 295 315 * 9400 9366 961.5
6768 317591 323 335 * 9500 9464 961.3
6770 317626 308 328 * 9600 9567 961.7 
6770 317626 367 387 * 9700 9667 961.7
6770 317626 397 417 * 9800 9767 961.7
## From https://twiki.cern.ch/twiki/bin/viewauth/CMS/RPCHvscan2016
# Fill Run LumiSectionStart LumiSectionEnd RollNamePattern HVEff[V] HVSet[V] Pressure[mbar]
4895 272818 360 385 * 8600 8517 955.7
4895 272818 395 428 * 8800 8715 955.7
4895 272818 32  56  * 9000 8913 955.7
4895 272818 63  82  * 9100 9009 955.4
4895 272818 94  114 * 9200 9107 955.3
4895 272818 123 140 * 9300 9208 955.5
4895 272818 152 179 * 9400 9307 955.5
4895 272818 189 201 * 9500 9406 955.5
4895 272818 209 238 * 9600 9505 955.5
4895 272818 246 273 RE* 9700 9604 955.5
4895 272818 283 306 RE* 9800 9705 955.6
4895 272818 315 338 RE* 9900 9804 955.6
